,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",10.69,11.18,10.39,10.44,69036400,1058940000
1,"Feb 27, 2018",9.97,11.1,9.82,10.66,97184400,986727000
2,"Feb 26, 2018",9.37,10.06,9.13,9.9,53540300,927688000
3,"Feb 25, 2018",9.15,9.49,8.94,9.35,43814500,906299000
4,"Feb 24, 2018",9.69,9.84,8.78,9.14,48709200,959200000
5,"Feb 23, 2018",8.87,9.73,8.66,9.69,53626800,878591000
6,"Feb 22, 2018",9.4,9.81,8.71,8.9,47216100,931201000
7,"Feb 21, 2018",9.88,10.19,9.15,9.38,55087600,978027000
8,"Feb 20, 2018",11.09,11.19,9.79,9.9,66512400,1098200000
9,"Feb 19, 2018",10.67,11.19,10.65,11.08,54898800,1056160000
10,"Feb 18, 2018",11.69,11.7,10.68,10.7,62044700,1157730000
11,"Feb 17, 2018",11.08,11.87,10.95,11.69,76093500,1096730000
12,"Feb 16, 2018",10.91,11.2,10.43,11.2,71131800,1080730000
13,"Feb 15, 2018",10.39,11.28,10.1,10.93,108962000,1028830000
14,"Feb 14, 2018",9.02,10.65,8.99,10.4,68781600,892701000
15,"Feb 13, 2018",9.32,9.35,8.77,8.99,41593400,922580000
16,"Feb 12, 2018",8.71,9.4,8.71,9.32,50792600,862556000
17,"Feb 11, 2018",9.2,9.35,8.14,8.7,68554600,911015000
18,"Feb 10, 2018",9.73,10.36,8.85,9.26,80123200,963676000
19,"Feb 09, 2018",8.61,9.89,8.34,9.73,9284,852180000
20,"Feb 08, 2018",8.09,8.72,8.09,8.6,82496000,801392000
21,"Feb 07, 2018",8.32,9.22,7.35,8.1,77970300,823329000
22,"Feb 06, 2018",6.81,8.56,5.59,8.29,97189900,673916000
23,"Feb 05, 2018",8.43,8.55,6.13,6.71,55276900,834443000
24,"Feb 04, 2018",9.75,9.75,8.1,8.46,49990000,964955000
25,"Feb 03, 2018",9.7,10.27,8.61,9.75,56556200,960106000
26,"Feb 02, 2018",9.41,10.46,7.22,9.65,91468200,931520000
27,"Feb 01, 2018",11.18,11.39,8.71,9.52,82984200,1106810000
28,"Jan 31, 2018",11.27,11.41,10.57,11.14,50435000,1115720000
29,"Jan 30, 2018",12.77,12.77,11.06,11.25,59389600,1264770000
30,"Jan 29, 2018",13.55,13.67,12.68,12.76,71294300,1341190000
31,"Jan 28, 2018",13.3,13.81,13.2,13.54,93871100,1317060000
32,"Jan 27, 2018",13.23,13.44,12.89,13.25,84009400,1310270000
33,"Jan 26, 2018",13.21,13.59,12.29,13.22,113429000,1308060000
34,"Jan 25, 2018",13.76,14.14,13.06,13.23,105648000,1362480000
35,"Jan 24, 2018",13.19,14.19,12.79,13.63,105736000,1306050000
36,"Jan 23, 2018",13.0,13.96,11.79,13.09,91706200,1287330000
37,"Jan 22, 2018",14.2,14.45,11.91,13.01,138026000,1405870000
38,"Jan 21, 2018",16.25,16.25,13.36,14.07,141562000,1608870000
39,"Jan 20, 2018",15.03,16.65,15.03,16.19,156745000,1488590000
40,"Jan 19, 2018",14.31,15.64,13.99,14.94,139882000,1416950000
41,"Jan 18, 2018",14.25,15.96,13.51,14.28,204899000,1411010000
42,"Jan 17, 2018",13.62,15.54,9.66,14.2,299411000,1348860000
43,"Jan 16, 2018",19.63,19.63,10.44,13.89,399951000,1944040000
44,"Jan 15, 2018",20.8,23.6,19.33,19.56,244154000,2059530000
45,"Jan 14, 2018",22.25,22.25,19.14,20.78,129239000,2203410000
46,"Jan 13, 2018",22.35,23.67,21.37,22.17,181676000,2212490000
47,"Jan 12, 2018",21.48,24.91,19.93,22.32,387538000,2126410000
48,"Jan 11, 2018",17.57,23.15,15.29,21.04,389228000,1739340000
49,"Jan 10, 2018",17.71,17.71,15.17,17.39,146582000,1753330000
50,"Jan 09, 2018",18.17,20.32,16.8,17.41,194750000,1799480000
51,"Jan 08, 2018",18.65,19.22,15.35,18.26,296618000,1846270000
52,"Jan 07, 2018",22.77,22.77,18.24,18.66,258050000,2254460000
53,"Jan 06, 2018",14.87,23.51,14.82,22.76,637021000,1472230000
54,"Jan 05, 2018",9.15,16.72,9.09,14.92,341505000,905550000
55,"Jan 04, 2018",9.45,9.54,8.85,9.21,158819000,935270000
56,"Jan 03, 2018",8.77,9.58,8.53,9.54,108852000,868367000
57,"Jan 02, 2018",8.46,9.12,8.22,8.84,104789000,837431000
58,"Jan 01, 2018",8.63,8.7,7.96,8.41,66422800,854444000
59,"Dec 31, 2017",7.76,8.84,7.71,8.64,74927900,768676000
60,"Dec 30, 2017",8.71,8.76,7.19,7.84,72933900,862785000
61,"Dec 29, 2017",9.32,9.53,8.54,8.81,70849400,922674000
62,"Dec 28, 2017",10.13,10.2,8.15,9.32,109298000,1002640000
63,"Dec 27, 2017",9.25,11.3,8.49,10.11,167808000,916302000
64,"Dec 26, 2017",6.56,10.62,6.5,9.03,167813000,649460000
65,"Dec 25, 2017",5.31,6.96,5.25,6.56,66374400,525624000
66,"Dec 24, 2017",4.74,5.29,4.2,5.29,43676900,469508000
67,"Dec 23, 2017",4.39,5.13,4.31,4.84,32930300,435162000
68,"Dec 22, 2017",5.21,5.21,3.51,4.34,36672600,515413000
69,"Dec 21, 2017",5.18,5.7,4.81,5.18,46905500,513379000
70,"Dec 20, 2017",5.79,5.79,4.93,5.18,47866900,573156000
71,"Dec 19, 2017",5.65,6.55,5.58,5.79,66695200,559132000
72,"Dec 18, 2017",5.79,6.22,5.28,5.62,66623700,573529000
73,"Dec 17, 2017",4.67,6.75,4.67,5.76,98159600,462330000
74,"Dec 16, 2017",4.17,4.73,3.92,4.66,54002400,412737000
75,"Dec 15, 2017",3.16,4.41,3.14,4.0,52745900,312557000
76,"Dec 14, 2017",2.77,3.16,2.77,3.16,40335300,274609000
77,"Dec 13, 2017",2.69,2.88,2.57,2.78,28429500,266059000
78,"Dec 12, 2017",2.73,2.78,2.61,2.68,24523200,269956000
79,"Dec 11, 2017",2.51,2.82,2.5,2.71,19427000,248824000
80,"Dec 10, 2017",2.66,2.7,2.21,2.48,19258500,263510000
81,"Dec 09, 2017",2.83,2.87,2.33,2.61,27217000,279816000
82,"Dec 08, 2017",2.77,2.87,2.26,2.83,38648500,273882000
83,"Dec 07, 2017",2.55,2.91,2.49,2.78,28297900,252426000
84,"Dec 06, 2017",2.58,2.78,2.35,2.59,41731500,255499000
85,"Dec 05, 2017",2.5,2.73,2.5,2.6,49190000,247714000
86,"Dec 04, 2017",2.26,2.58,2.26,2.49,41226200,223583000
87,"Dec 03, 2017",2.09,2.38,2.05,2.23,35163500,206485000
88,"Dec 02, 2017",2.08,2.12,2.0,2.08,24332700,205658000
89,"Dec 01, 2017",2.0,2.14,1.92,2.07,28867200,197726000
90,"Nov 30, 2017",1.76,2.05,1.76,2.0,31559500,174407000
91,"Nov 29, 2017",1.92,2.05,1.68,1.75,43765500,190537000
92,"Nov 28, 2017",1.96,1.96,1.87,1.92,36377700,193953000
93,"Nov 27, 2017",1.87,1.95,1.79,1.94,22826600,185239000
94,"Nov 26, 2017",1.89,1.94,1.83,1.85,9056850,187606000
95,"Nov 25, 2017",1.72,1.96,1.69,1.87,12839900,170004000
96,"Nov 24, 2017",1.57,1.82,1.56,1.72,12155400,155406000
97,"Nov 23, 2017",1.61,1.62,1.54,1.55,8392640,159472000
98,"Nov 22, 2017",1.59,1.62,1.56,1.61,7177000,157481000
99,"Nov 21, 2017",1.66,1.66,1.55,1.57,5440790,164182000
100,"Nov 20, 2017",1.63,1.66,1.56,1.62,12994500,160956000
101,"Nov 19, 2017",1.67,1.7,1.57,1.61,38081700,165686000
102,"Nov 18, 2017",1.51,1.68,1.5,1.67,32167300,149646000
103,"Nov 17, 2017",1.58,1.58,1.5,1.51,8508840,156447000
104,"Nov 16, 2017",1.56,1.68,1.54,1.58,8928640,154085000
105,"Nov 15, 2017",1.59,1.62,1.5,1.53,7615500,157212000
106,"Nov 14, 2017",1.69,1.74,1.57,1.59,7829600,167262000
107,"Nov 13, 2017",1.53,1.74,1.52,1.69,12238800,151096000
108,"Nov 12, 2017",1.67,1.67,1.46,1.52,15298700,165243000
109,"Nov 11, 2017",1.79,1.92,1.61,1.67,8178150,176866000
110,"Nov 10, 2017",2.01,2.07,1.64,1.8,11155000,198793000
111,"Nov 09, 2017",2.05,2.17,1.89,1.99,19192200,203289000
112,"Nov 08, 2017",1.8,2.06,1.78,2.03,18796200,178133000
113,"Nov 07, 2017",1.57,1.82,1.55,1.81,9469500,155362000
114,"Nov 06, 2017",1.53,1.67,1.48,1.57,5042750,151372000
115,"Nov 05, 2017",1.64,1.64,1.46,1.52,2681150,162105000
116,"Nov 04, 2017",1.46,1.7,1.4,1.64,4685320,144162000
117,"Nov 03, 2017",1.29,1.48,1.29,1.46,3201070,128180000
118,"Nov 02, 2017",1.26,1.37,1.2,1.3,3550520,124783000
119,"Nov 01, 2017",1.34,1.34,1.22,1.26,2118920,132200000
120,"Oct 31, 2017",1.34,1.41,1.27,1.31,3397150,132278000
121,"Oct 30, 2017",1.23,1.36,1.2,1.31,2437230,122120000
122,"Oct 29, 2017",1.18,1.26,1.16,1.24,1969690,116675000
123,"Oct 28, 2017",1.18,1.2,1.14,1.15,1495260,116928000
124,"Oct 27, 2017",1.21,1.22,1.11,1.17,2067650,119683000
125,"Oct 26, 2017",1.26,1.26,1.1,1.21,2400010,124854000
126,"Oct 25, 2017",1.24,1.27,1.17,1.25,2288360,123115000
127,"Oct 24, 2017",1.18,1.38,1.14,1.25,4833390,116532000
128,"Oct 23, 2017",1.23,1.28,1.1,1.18,2355560,121922000
129,"Oct 22, 2017",1.26,1.3,1.18,1.21,1631220,124292000
130,"Oct 21, 2017",1.24,1.27,1.17,1.25,1331640,122515000
131,"Oct 20, 2017",1.28,1.37,1.22,1.24,1703230,128326000
132,"Oct 19, 2017",1.33,1.35,1.25,1.28,1791220,132868000
133,"Oct 18, 2017",1.39,1.42,1.21,1.33,2311140,139351000
134,"Oct 17, 2017",1.44,1.47,1.36,1.39,1744390,143768000
135,"Oct 16, 2017",1.56,1.6,1.39,1.44,2960330,155599000
136,"Oct 15, 2017",1.5,1.68,1.41,1.56,5987930,149513000
137,"Oct 14, 2017",1.47,1.54,1.41,1.54,3355060,146932000
138,"Oct 13, 2017",1.34,1.51,1.18,1.44,5705760,133651000
139,"Oct 12, 2017",1.43,1.44,1.28,1.34,5275850,142996000
140,"Oct 11, 2017",1.4,1.46,1.38,1.43,6123140,139944000
141,"Oct 10, 2017",1.43,1.47,1.34,1.39,6912770,143107000
142,"Oct 09, 2017",1.21,1.58,1.21,1.4,9667100,120771000
143,"Oct 08, 2017",1.58,1.6,1.22,1.22,4515300,157618000
144,"Oct 07, 2017",1.61,1.61,1.5,1.58,5578780,160526000
145,"Oct 06, 2017",1.68,1.71,1.53,1.58,6076260,167731000
146,"Oct 05, 2017",1.63,1.74,1.42,1.68,7503500,163499000
147,"Oct 04, 2017",1.85,1.86,1.52,1.6,7227750,185150000
148,"Oct 03, 2017",1.97,2.03,1.67,1.82,14411500,196783000
149,"Oct 02, 2017",1.53,1.98,1.51,1.96,19367700,152662000
150,"Oct 01, 2017",1.28,1.53,1.26,1.53,9043600,128418000
151,"Sep 30, 2017",1.27,1.31,1.23,1.28,6194570,127000000
152,"Sep 29, 2017",1.37,1.37,1.14,1.27,8474270,136698000
153,"Sep 28, 2017",1.15,1.43,1.15,1.38,13944300,114843000
154,"Sep 27, 2017",0.855698,1.2,0.855698,1.14,8394020,85569800
155,"Sep 26, 2017",0.9189219999999999,0.940082,0.8592120000000001,0.8607469999999999,3460160,91892200
156,"Sep 25, 2017",0.7842439999999999,0.9365680000000001,0.773316,0.9170590000000001,3695220,78424400
157,"Sep 24, 2017",0.775804,0.788347,0.736221,0.7832680000000001,2402720,77580400
158,"Sep 23, 2017",0.7171960000000001,0.7774,0.707845,0.770965,2276080,71719600
159,"Sep 22, 2017",0.698871,0.740154,0.6832600000000001,0.715893,2099500,69887100
160,"Sep 21, 2017",0.764013,0.781775,0.684281,0.70214,2238040,76401300
161,"Sep 20, 2017",0.815032,0.816384,0.743676,0.7478899999999999,2536950,81503200
162,"Sep 19, 2017",0.9073979999999999,0.9091319999999999,0.7876529999999999,0.802425,2888420,90739800
163,"Sep 18, 2017",0.789565,0.9370290000000001,0.787604,0.9092020000000001,3717860,78956500
164,"Sep 17, 2017",0.803423,0.814797,0.733745,0.789589,1273640,80342300
165,"Sep 16, 2017",0.808056,0.9271969999999999,0.746113,0.804198,2829570,80805600
166,"Sep 15, 2017",0.683305,0.849217,0.526755,0.799709,4625680,68330500
167,"Sep 14, 2017",0.9378700000000001,0.950177,0.673482,0.678784,3134360,93787000
168,"Sep 13, 2017",1.04,1.04,0.8802409999999999,0.937204,2780700,104290000
169,"Sep 12, 2017",1.03,1.21,0.987632,1.04,7213490,103348000
170,"Sep 11, 2017",0.9491860000000001,1.1,0.902,1.03,5167180,94918600
171,"Sep 10, 2017",0.9820780000000001,1.0,0.8523850000000001,0.942159,3257430,98207800
172,"Sep 09, 2017",1.01,1.03,0.8630610000000001,0.989301,4011510,100920000
173,"Sep 08, 2017",1.4,1.4,0.946601,1.01,9872850,139804000
174,"Sep 07, 2017",1.03,1.51,0.9567450000000001,1.37,15442300,103434000
175,"Sep 06, 2017",0.9905209999999999,1.17,0.7355,1.09,14279400,99052100
176,"Sep 05, 2017",1.03,1.12,0.740622,0.973716,9453770,103251000
177,"Sep 04, 2017",1.58,1.58,0.61301,1.05,20075100,157665000
178,"Sep 03, 2017",1.93,2.02,1.42,1.58,11662000,192548000
179,"Sep 02, 2017",2.5,2.85,1.72,1.99,22995400,250000000
180,"Sep 01, 2017",2.2,2.39,2.12,2.38,20990700,220169000
181,"Aug 31, 2017",2.33,2.41,2.2,2.2,20214800,232823000
182,"Aug 30, 2017",2.28,2.37,2.09,2.35,24830000,228194000
183,"Aug 29, 2017",2.11,2.33,1.99,2.33,20372000,210625000
184,"Aug 28, 2017",2.02,2.17,1.96,2.04,15413900,202149000
185,"Aug 27, 2017",2.18,2.31,1.86,2.01,17214900,217997000
186,"Aug 26, 2017",2.53,2.54,1.96,2.17,26690700,253038000
187,"Aug 25, 2017",2.39,2.73,2.39,2.5,49977600,239057000
188,"Aug 24, 2017",2.63,2.66,2.28,2.38,45080400,262736000
189,"Aug 23, 2017",2.47,2.96,2.47,2.58,64925100,247397000
190,"Aug 22, 2017",2.72,2.72,2.22,2.49,52091300,272445000
191,"Aug 21, 2017",2.43,2.91,2.43,2.7,72000600,243075000
192,"Aug 20, 2017",2.11,2.69,2.08,2.5,65350400,210821000
193,"Aug 19, 2017",2.33,2.33,1.82,2.09,43391300,233440000
194,"Aug 18, 2017",1.93,2.75,1.89,2.38,69048000,192519000
195,"Aug 17, 2017",1.44,2.11,1.32,1.97,61296500,143697000
196,"Aug 16, 2017",1.12,1.45,1.08,1.44,31363100,111969000
197,"Aug 15, 2017",1.33,1.38,0.923372,1.06,19824400,132709000
198,"Aug 14, 2017",0.8729180000000001,1.46,0.7357640000000001,1.3,51698100,87291800
199,"Aug 13, 2017",0.44598999999999994,1.02,0.44598999999999994,0.876828,13852100,44599000
200,"Aug 12, 2017",0.39219299999999996,0.475992,0.337589,0.44636499999999996,5080760,39219300
201,"Aug 11, 2017",0.348785,0.409654,0.311067,0.392572,4413920,34878500
202,"Aug 10, 2017",0.251827,0.349976,0.245052,0.349079,4118070,25182700
203,"Aug 09, 2017",0.224748,0.260625,0.222158,0.242912,3075320,22474800
204,"Aug 08, 2017",0.148998,0.226925,0.147766,0.224421,2617340,14899800
205,"Aug 07, 2017",0.133958,0.149765,0.1333,0.148848,748177,13395800
206,"Aug 06, 2017",0.12929300000000002,0.13298800000000002,0.12738,0.130999,393681,12929200
207,"Aug 05, 2017",0.107418,0.144653,0.10707,0.128871,542878,10741800
208,"Aug 04, 2017",0.10668499999999999,0.10775599999999999,0.102699,0.107494,287621,10668500
209,"Aug 03, 2017",0.100328,0.106978,0.09912,0.106642,293008,10032800
210,"Aug 02, 2017",0.099721,0.101211,0.097361,0.100452,256793,9972120
211,"Aug 01, 2017",0.10459500000000001,0.10626600000000001,0.096109,0.099867,300413,10459500
212,"Jul 31, 2017",0.10682799999999999,0.108349,0.1016,0.10425,240309,10682800
213,"Jul 30, 2017",0.10793499999999999,0.10813800000000001,0.10316199999999999,0.10641400000000001,224261,10793500
214,"Jul 29, 2017",0.104782,0.11126400000000002,0.101108,0.10781099999999999,340218,10478200
215,"Jul 28, 2017",0.10763199999999999,0.109019,0.10147300000000001,0.104067,342568,10763200
216,"Jul 27, 2017",0.105108,0.10847899999999999,0.100888,0.10773699999999999,344499,10510800
217,"Jul 26, 2017",0.105893,0.10901300000000001,0.099266,0.10513800000000001,200395,10589300
218,"Jul 25, 2017",0.115203,0.11584100000000001,0.101531,0.10587,145269,11520300
